Date,Hour,Year,Whale,Boat
9/29/19,7,2019,1,0
9/29/19,8,2019,1,0
9/29/19,9,2019,1,0
9/29/19,10,2019,1,0
9/29/19,11,2019,1,1
9/29/19,12,2019,1,0
9/29/19,13,2019,1,1
9/29/19,14,2019,1,0
9/29/19,15,2019,1,0
9/29/19,16,2019,1,0
9/29/19,17,2019,1,0
9/29/19,18,2019,1,0
9/29/19,19,2019,1,0
9/29/19,20,2019,1,0
9/29/19,21,2019,1,0
9/29/19,22,2019,1,0
9/29/19,23,2019,1,0
9/30/19,0,2019,1,0
9/30/19,1,2019,1,0
9/30/19,2,2019,1,0
9/30/19,3,2019,1,0
9/30/19,4,2019,1,0
9/30/19,5,2019,1,0
9/30/19,6,2019,1,0
9/30/19,7,2019,1,0
9/30/19,8,2019,1,0
9/30/19,9,2019,1,0
9/30/19,10,2019,1,0
9/30/19,11,2019,1,0
9/30/19,12,2019,1,0
9/30/19,13,2019,1,0
9/30/19,14,2019,1,0
9/30/19,15,2019,1,0
9/30/19,16,2019,1,0
9/30/19,17,2019,0,0
9/30/19,18,2019,1,0
9/30/19,19,2019,1,0
9/30/19,20,2019,1,0
9/30/19,21,2019,1,0
9/30/19,22,2019,0,0
9/30/19,23,2019,1,0
9/3/20,17,2020,1,0
9/3/20,18,2020,1,0
9/3/20,19,2020,1,0
9/3/20,21,2020,1,0
9/3/20,22,2020,1,0
9/3/20,23,2020,1,0
9/4/20,0,2020,1,0
9/4/20,1,2020,1,0
9/4/20,2,2020,1,0
9/4/20,3,2020,1,0
9/4/20,4,2020,1,0
9/4/20,5,2020,1,0
9/4/20,6,2020,1,0
9/4/20,7,2020,1,0
9/4/20,8,2020,1,0
9/4/20,9,2020,1,0
9/4/20,10,2020,1,1
9/4/20,11,2020,1,0
9/4/20,12,2020,1,0
9/4/20,13,2020,1,0
9/4/20,14,2020,1,0
9/4/20,15,2020,1,0
9/4/20,16,2020,1,0
9/4/20,17,2020,1,0
9/4/20,18,2020,1,0
9/4/20,19,2020,1,0
9/4/20,20,2020,1,0
9/4/20,21,2020,1,0
9/4/20,22,2020,1,0
9/4/20,23,2020,1,0
9/5/20,0,2020,1,0
9/5/20,1,2020,1,0
9/5/20,2,2020,1,0
9/5/20,3,2020,1,0
9/5/20,4,2020,1,0
9/5/20,5,2020,1,0
9/5/20,6,2020,1,0
9/5/20,7,2020,1,0
9/5/20,8,2020,1,0
9/5/20,9,2020,1,0
9/5/20,10,2020,1,0
9/5/20,11,2020,1,1
9/5/20,12,2020,1,1
9/5/20,13,2020,1,0
9/5/20,14,2020,1,0
9/5/20,15,2020,1,0
9/5/20,16,2020,1,0
9/5/20,17,2020,1,0
9/5/20,18,2020,1,0
9/5/20,19,2020,1,0
9/5/20,20,2020,1,0
9/5/20,21,2020,1,0
9/5/20,22,2020,1,0
9/5/20,23,2020,1,0
9/6/20,0,2020,1,0
9/6/20,1,2020,1,0
9/6/20,2,2020,1,0
9/6/20,3,2020,1,0
9/6/20,4,2020,1,0
9/6/20,5,2020,1,0
9/6/20,6,2020,1,0
9/6/20,7,2020,1,0
9/6/20,8,2020,1,0
9/6/20,9,2020,1,1
9/6/20,10,2020,1,0
9/6/20,11,2020,1,1
9/6/20,12,2020,1,0
9/6/20,13,2020,1,0
9/6/20,14,2020,1,0
9/6/20,15,2020,1,0
9/6/20,16,2020,1,0
9/6/20,17,2020,1,0
9/6/20,18,2020,1,0
9/6/20,19,2020,1,0
9/6/20,20,2020,1,0
9/6/20,21,2020,1,0
9/6/20,22,2020,1,0
9/6/20,23,2020,1,0
9/7/20,0,2020,1,0
9/7/20,1,2020,1,0
9/7/20,2,2020,1,0
9/7/20,3,2020,1,0
9/7/20,4,2020,1,0
9/7/20,5,2020,1,0
9/7/20,6,2020,1,0
9/7/20,7,2020,1,0
9/7/20,8,2020,1,0
9/7/20,9,2020,1,0
9/7/20,10,2020,1,0
9/7/20,11,2020,1,0
9/7/20,12,2020,1,0
9/7/20,13,2020,1,0
9/7/20,14,2020,1,0
9/7/20,15,2020,1,0
9/7/20,16,2020,1,0
9/7/20,17,2020,1,0
9/7/20,18,2020,1,0
9/7/20,19,2020,1,0
9/7/20,20,2020,1,0
9/7/20,21,2020,1,0
9/7/20,22,2020,1,0
9/7/20,23,2020,1,0
9/8/20,0,2020,1,0
9/8/20,1,2020,1,0
9/8/20,2,2020,1,0
9/8/20,3,2020,1,0
9/8/20,4,2020,1,0
9/8/20,5,2020,1,0
9/8/20,6,2020,1,0
9/8/20,7,2020,1,0
9/8/20,8,2020,1,0
9/8/20,9,2020,1,0
9/8/20,10,2020,1,0
9/8/20,11,2020,1,0
9/8/20,12,2020,1,1
9/8/20,13,2020,1,0
9/8/20,14,2020,1,0
9/8/20,15,2020,1,0
9/8/20,16,2020,1,0
9/8/20,17,2020,1,0
9/8/20,18,2020,1,0
9/8/20,19,2020,1,0
9/8/20,20,2020,1,0
9/8/20,21,2020,1,0
9/8/20,22,2020,1,0
9/8/20,23,2020,1,0
9/9/20,0,2020,1,0
9/9/20,1,2020,1,0
9/9/20,2,2020,1,0
9/9/20,3,2020,1,0
9/9/20,4,2020,1,0
9/9/20,5,2020,1,0
9/9/20,6,2020,1,0
9/9/20,7,2020,1,0
9/9/20,8,2020,1,0
9/9/20,9,2020,1,0
9/9/20,10,2020,1,0
9/9/20,11,2020,1,0
9/9/20,12,2020,1,0
9/9/20,13,2020,1,0
9/9/20,14,2020,1,0
9/9/20,15,2020,1,0
9/9/20,16,2020,1,0
9/9/20,17,2020,1,0
9/9/20,18,2020,1,0
9/9/20,19,2020,1,0
9/9/20,20,2020,1,0
9/9/20,21,2020,1,0
9/9/20,22,2020,1,0
9/9/20,23,2020,1,0
9/10/20,0,2020,1,0
9/10/20,1,2020,1,0
9/10/20,2,2020,1,0
9/10/20,3,2020,1,0
9/10/20,4,2020,1,0
9/10/20,5,2020,1,0
9/10/20,6,2020,1,0
9/10/20,7,2020,1,0
9/10/20,8,2020,1,0
9/10/20,9,2020,1,0
9/10/20,10,2020,1,0
9/10/20,11,2020,1,0
9/10/20,12,2020,1,0
9/10/20,13,2020,1,0
9/10/20,14,2020,1,0
9/10/20,15,2020,1,0
9/10/20,16,2020,1,0
9/10/20,17,2020,1,0
9/10/20,18,2020,1,0
9/10/20,19,2020,1,0
9/10/20,20,2020,1,0
9/10/20,21,2020,1,0
9/10/20,22,2020,1,0
9/10/20,23,2020,1,0
9/11/20,0,2020,1,0
9/11/20,1,2020,1,0
9/11/20,2,2020,1,0
9/11/20,3,2020,1,0
9/11/20,4,2020,1,0
9/11/20,5,2020,1,0
9/11/20,6,2020,1,0
9/11/20,7,2020,1,0
9/11/20,8,2020,1,0
9/11/20,9,2020,1,0
9/11/20,10,2020,1,0
9/11/20,11,2020,1,0
9/11/20,12,2020,1,0
9/11/20,13,2020,1,0
9/11/20,14,2020,1,0
9/11/20,15,2020,1,0
9/11/20,16,2020,1,0
9/11/20,17,2020,1,0
9/11/20,18,2020,1,0
9/11/20,19,2020,1,0
9/11/20,20,2020,1,0
9/11/20,21,2020,1,0
9/11/20,22,2020,1,0
9/11/20,23,2020,1,0
9/12/20,0,2020,1,0
9/12/20,1,2020,1,0
9/12/20,2,2020,1,0
9/12/20,3,2020,1,0
9/12/20,4,2020,1,0
9/12/20,5,2020,1,0
9/12/20,6,2020,1,0
9/12/20,7,2020,1,0
9/12/20,8,2020,1,0
9/12/20,9,2020,1,0
9/12/20,10,2020,1,1
9/12/20,11,2020,1,0
9/12/20,12,2020,1,0
9/12/20,13,2020,1,0
9/12/20,14,2020,1,0
9/12/20,15,2020,1,1
9/12/20,16,2020,1,0
9/12/20,17,2020,1,0
9/12/20,18,2020,1,0
9/12/20,19,2020,1,0
9/12/20,20,2020,1,0
9/12/20,21,2020,1,0
9/12/20,22,2020,1,0
9/12/20,23,2020,1,0
9/13/20,0,2020,1,0
9/13/20,1,2020,1,0
9/13/20,2,2020,1,0
9/13/20,3,2020,1,0
9/13/20,4,2020,1,0
9/13/20,5,2020,1,0
9/13/20,6,2020,1,0
9/13/20,7,2020,1,0
9/13/20,8,2020,1,0
9/13/20,9,2020,1,0
9/13/20,10,2020,1,0
9/13/20,11,2020,1,1
9/13/20,12,2020,1,1
9/13/20,13,2020,1,0
9/13/20,14,2020,1,0
9/13/20,15,2020,1,0
9/13/20,16,2020,1,1
9/13/20,17,2020,1,0
9/13/20,18,2020,1,0
9/13/20,19,2020,1,0
9/13/20,20,2020,1,0
9/13/20,21,2020,1,0
9/13/20,22,2020,1,0
9/13/20,23,2020,1,0
9/14/20,0,2020,1,0
9/14/20,1,2020,1,0
9/14/20,2,2020,1,0
9/14/20,3,2020,1,0
9/14/20,4,2020,1,0
9/14/20,5,2020,1,0
9/14/20,6,2020,1,0
9/14/20,7,2020,1,0
9/14/20,8,2020,1,0
9/14/20,9,2020,1,0
9/14/20,10,2020,1,1
9/14/20,11,2020,1,0
9/14/20,12,2020,1,0
9/14/20,13,2020,1,0
9/14/20,14,2020,1,0
9/14/20,15,2020,1,0
9/14/20,16,2020,1,0
9/14/20,17,2020,1,0
9/14/20,18,2020,1,0
9/14/20,19,2020,1,0
9/14/20,20,2020,1,0
9/14/20,21,2020,1,0
9/14/20,22,2020,1,0
